"language","engine","variant","hypothesis","term","scheme","compared_with","n_reps","structure","r_mean","r_min","r_max","z_ratio_mean","z_ratio_min","z_ratio_max","est_full_mean","se_full_mean","z_full_mean","est_half_mean","se_half_mean","z_half_mean","n_half_singular","full_singular","r_analytic_N80","verb_floor_share_full"
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.02931,0.941666,1.10226,1.05186,0.871754,1.16475,-0.119237,0.0340496,-3.50185,-0.122203,0.0331596,-3.68345,0,FALSE,1.02451,0.638849
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","B_random_per_cell","full data, same model",5,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.998169,0.974419,1.02869,1.0219,0.833645,1.28488,-0.119237,0.0340496,-3.50185,-0.12174,0.0341278,-3.57855,0,FALSE,NA,NA
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","C_first_exposure","full data, same model",1,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.905223,0.905223,0.905223,1.18299,1.18299,1.18299,-0.119237,0.0340496,-3.50185,-0.155824,0.0376146,-4.14266,0,FALSE,NA,NA
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","boot80_A_verb_split_lists","full data, same model",3,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.0962,1.06942,1.13058,1.2453,1.10435,1.33128,-0.11547,0.0396294,-2.92295,-0.132159,0.0361821,-3.67349,0,FALSE,NA,NA
"Turkish","clmm","clmm","h2","S_TypePseudo_Passive:Semantics_scaled","A_verb_split_lists","full data, same model",2,"R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)",0.988024,0.980104,0.995945,0.87935,0.773876,0.984823,0.254481,0.203232,1.25217,0.226287,0.205709,1.10109,0,FALSE,NA,NA
"Turkish","lmer","maximal","h2","S_TypePseudo_Passive:Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]",0.92036,0.873223,1.00437,0.800411,0.556803,1.10458,0.0920506,0.0495103,1.85922,0.0801719,0.053898,1.48814,5,TRUE,NA,NA
"Turkish","lmer","maximal","h2","S_TypePseudo_Passive:Semantics_scaled","C_first_exposure","full data, same model",1,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]",0.855115,0.855115,0.855115,0.757855,0.757855,0.757855,0.0920506,0.0495103,1.85922,0.0815809,0.057899,1.40902,0,TRUE,NA,NA
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","A_verb_split_lists","full data with participant x verb x S_Type cell term",10,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.953687,0.89879,1.03466,0.829149,0.57872,1.12709,0.0920506,0.0437443,2.10429,0.0801719,0.0459507,1.74477,0,FALSE,NA,NA
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","B_random_per_cell","full data with participant x verb x S_Type cell term",5,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.906312,0.834797,1.00328,0.920442,0.756037,1.09196,0.0920506,0.0437443,2.10429,0.0936126,0.0484687,1.93687,0,FALSE,NA,NA
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","C_first_exposure","full data with participant x verb x S_Type cell term",1,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.847052,0.847052,0.847052,0.750709,0.750709,0.750709,0.0920506,0.0437443,2.10429,0.0815809,0.051643,1.57971,0,FALSE,NA,NA
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.98499,0.928291,1.06862,0.856364,0.597715,1.16408,0.0920506,0.0451801,2.03741,0.0801719,0.0459507,1.74477,0,FALSE,0.984276,0.477695
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","B_random_per_cell","full data, same model",5,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.93606,0.862197,1.03621,0.950653,0.780852,1.1278,0.0920506,0.0451801,2.03741,0.0936126,0.0484687,1.93687,0,FALSE,NA,NA
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","C_first_exposure","full data, same model",1,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.874854,0.874854,0.874854,0.775349,0.775349,0.775349,0.0920506,0.0451801,2.03741,0.0815809,0.051643,1.57971,0,FALSE,NA,NA
"Turkish","lmer","selected","h2","S_TypePseudo_Passive:Semantics_scaled","boot80_A_verb_split_lists","full data, same model",3,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.00929,0.928157,1.06102,0.866708,0.631703,1.03536,0.11159,0.0499828,2.22371,0.0990285,0.0498029,1.93194,0,FALSE,NA,NA
